순서,학번,이름,주민번호,아이디,비밀번호,신분,질문,답변,실패횟수
1,2017310001,이상호,981030-1226516,noid,nopw,nopo,noqu,noan,0
2,2017310002,유영재,980609-1226516,noid,nopw,nopo,noqu,noan,0
3,2017310003,정혜인,991211-2680119,lsh3982,kjlee3982,학생,noqu,noan,0
4,2017310004,noname,norrn,noid,nopw,nopo,noqu,noan,0
5,2017310005,noname,norrn,noid,nopw,nopo,noqu,noan,0
6,2017310006,noname,norrn,noid,nopw,nopo,noqu,noan,0
7,2017310007,noname,norrn,noid,nopw,nopo,noqu,noan,0
8,2017310008,noname,norrn,noid,nopw,nopo,noqu,noan,0
9,2017310009,noname,norrn,noid,nopw,nopo,noqu,noan,0
10,2017310010,noname,norrn,noid,nopw,nopo,noqu,noan,0
11,2017310011,noname,norrn,noid,nopw,nopo,noqu,noan,0
12,2017310012,noname,norrn,noid,nopw,nopo,noqu,noan,0
13,2017310013,noname,norrn,noid,nopw,nopo,noqu,noan,0
14,2017310014,noname,norrn,noid,nopw,nopo,noqu,noan,0
15,2017310015,noname,norrn,noid,nopw,nopo,noqu,noan,0
16,2017310016,noname,norrn,noid,nopw,nopo,noqu,noan,0
17,2017310017,noname,norrn,noid,nopw,nopo,noqu,noan,0
18,2017310018,noname,norrn,noid,nopw,nopo,noqu,noan,0
19,2017310019,noname,norrn,noid,nopw,nopo,noqu,noan,0
20,2017310020,noname,norrn,noid,nopw,nopo,noqu,noan,0
